Plane ID   	Status   	Request Time   	Runway Time   	Turnaround Time
_______________________________________________________________________________
0 		 L 		 0 		 2 		 2
6 		 L 		 1 		 4 		 3
8 		 L 		 2 		 6 		 4
3 		 D 		 0 		 8 		 8
12 		 L 		 3 		 10 		 7
16 		 L 		 6 		 12 		 6
20 		 L 		 7 		 14 		 7
26 		 L 		 8 		 16 		 8
28 		 L 		 13 		 18 		 5
34 		 L 		 14 		 20 		 6
5 		 D 		 1 		 22 		 21
11 		 D 		 2 		 24 		 22
15 		 D 		 3 		 26 		 23
19 		 D 		 6 		 28 		 22
36 		 L 		 16 		 30 		 14
40 		 L 		 17 		 32 		 15
44 		 L 		 19 		 34 		 15
48 		 L 		 21 		 36 		 15
54 		 L 		 23 		 38 		 15
56 		 L 		 24 		 40 		 16
88 		 E 		 40 		 42 		 2
23 		 D 		 7 		 44 		 37
25 		 D 		 8 		 46 		 38
31 		 D 		 13 		 48 		 35
33 		 D 		 14 		 50 		 36
60 		 L 		 26 		 52 		 26
66 		 L 		 29 		 54 		 25
70 		 L 		 30 		 56 		 26
72 		 L 		 31 		 58 		 27
76 		 L 		 32 		 60 		 28
